time/ka,W/m^2
-2286,446.39096
-2285,449.94185
-2284,453.750986
-2283,457.880977
-2282,462.381181
-2281,466.479846
-2280,470.389995
-2279,473.615992
-2278,476.021611
-2277,477.607486
-2276,478.199927
-2275,477.968208
-2274,476.991468
-2273,475.717711
-2272,473.814056
-2271,472.00089
-2270,469.936367
-2269,468.239196
-2268,466.826908
-2267,465.757364
-2266,465.128838
-2265,465.027414
-2264,465.390226
-2263,466.204111
-2262,467.631741
-2261,469.574546
-2260,471.720328
-2259,474.5755
-2258,478.161569
-2257,481.529268
-2256,485.167265
-2255,488.229759
-2254,490.44374
-2253,490.890182
-2252,488.747823
-2251,483.976088
-2250,476.304172
-2249,466.240224
-2248,455.898458
-2247,445.500343
-2246,437.147284
-2245,430.973046
-2244,427.618683
-2243,426.773047
-2242,428.41316
-2241,431.875937
-2240,437.353523
-2239,444.09606
-2238,452.187164
-2237,461.444968
-2236,471.688717
-2235,483.112277
-2234,493.838513
-2233,504.507901
-2232,512.212293
-2231,516.429536
-2230,515.612987
-2229,509.048021
-2228,498.625289
-2227,485.019171
-2226,470.881076
-2225,458.632874
-2224,448.622019
-2223,441.809503
-2222,437.557951
-2221,436.191259
-2220,436.949405
-2219,439.256719
-2218,443.024505
-2217,447.961211
-2216,454.073825
-2215,461.109046
-2214,468.831503
-2213,477.393545
-2212,485.406856
-2211,492.287906
-2210,496.263887
-2209,496.540978
-2208,492.703867
-2207,484.667283
-2206,474.467937
-2205,462.727217
-2204,451.583934
-2203,442.783914
-2202,436.421985
-2201,432.970749
-2200,432.100989
-2199,433.417107
-2198,436.552912
-2197,441.194888
-2196,447.043385
-2195,453.943527
-2194,461.622103
-2193,469.80824
-2192,477.717346
-2191,485.790438
-2190,493.095761
-2189,499.337483
-2188,503.449248
-2187,505.48543
-2186,505.016484
-2185,502.288655
-2184,497.647272
-2183,491.702593
-2182,485.029987
-2181,478.601994
-2180,472.097855
-2179,466.590073
-2178,461.827028
-2177,457.967426
-2176,455.109464
-2175,453.039262
-2174,451.672009
-2173,451.070772
-2172,451.078066
-2171,451.483208
-2170,452.583041
-2169,453.902613
-2168,455.580996
-2167,457.810755
-2166,460.212045
-2165,462.643572
-2164,465.022701
-2163,467.07499
-2162,468.766415
-2161,469.892213
-2160,470.236157
-2159,469.834248
-2158,468.723259
-2157,466.776355
-2156,464.750486
-2155,462.355902
-2154,460.450782
-2153,458.772123
-2152,458.043809
-2151,458.024464
-2150,458.946058
-2149,460.662405
-2148,463.233661
-2147,466.403414
-2146,470.463112
-2145,474.799832
-2144,479.548152
-2143,484.986358
-2142,490.096846
-2141,495.378815
-2140,499.989213
-2139,503.508543
-2138,505.100568
-2137,503.747859
-2136,499.146215
-2135,491.297241
-2134,480.975821
-2133,468.872038
-2132,457.343994
-2131,446.989992
-2130,438.282346
-2129,432.694985
-2128,429.501271
-2127,428.704377
-2126,430.257649
-2125,433.50248
-2124,438.436024
-2123,444.42828
-2122,452.068368
-2121,460.694486
-2120,469.840252
-2119,478.809256
-2118,487.105767
-2117,493.382585
-2116,496.06548
-2115,494.851996
-2114,489.613279
-2113,481.463116
-2112,471.382791
-2111,462.103151
-2110,454.27199
-2109,449.051947
-2108,446.191041
-2107,445.816478
-2106,447.275145
-2105,450.37725
-2104,454.737941
-2103,459.841266
-2102,466.050146
-2101,472.326026
-2100,478.748591
-2099,485.324747
-2098,491.082358
-2097,495.69925
-2096,498.18763
-2095,498.079396
-2094,495.288372
-2093,489.840494
-2092,482.447152
-2091,474.23203
-2090,466.151184
-2089,459.311978
-2088,453.566103
-2087,449.75004
-2086,447.507676
-2085,446.866439
-2084,447.486646
-2083,448.994462
-2082,451.312909
-2081,454.144206
-2080,457.090084
-2079,460.289982
-2078,463.183463
-2077,465.895125
-2076,468.068737
-2075,469.85919
-2074,470.978809
-2073,471.806498
-2072,472.256431
-2071,472.368246
-2070,472.548307
-2069,472.802758
-2068,473.16943
-2067,474.483141
-2066,476.311387
-2065,477.714379
-2064,479.239764
-2063,480.269057
-2062,480.696936
-2061,480.589667
-2060,479.530921
-2059,477.813238
-2058,475.51464
-2057,472.62528
-2056,469.531543
-2055,466.239805
-2054,463.329869
-2053,460.73732
-2052,458.804775
-2051,457.703338
-2050,457.275786
-2049,457.835658
-2048,459.12497
-2047,461.099593
-2046,463.525695
-2045,466.157587
-2044,468.780466
-2043,470.721493
-2042,472.021997
-2041,472.214622
-2040,471.250957
-2039,469.370997
-2038,466.587801
-2037,463.39834
-2036,460.287149
-2035,457.670152
-2034,456.105807
-2033,455.42105
-2032,456.062565
-2031,457.87816
-2030,460.632325
-2029,464.453421
-2028,469.028585
-2027,473.858258
-2026,479.210567
-2025,484.446198
-2024,489.143105
-2023,492.816557
-2022,495.052402
-2021,495.483669
-2020,493.892973
-2019,490.461696
-2018,485.111747
-2017,478.980589
-2016,472.209338
-2015,466.025874
-2014,460.411467
-2013,456.178083
-2012,453.286994
-2011,451.704643
-2010,451.510702
-2009,452.407547
-2008,454.272398
-2007,456.975546
-2006,459.857996
-2005,462.942553
-2004,465.634927
-2003,467.69112
-2002,468.611034
-2001,468.361509
-2000,466.980558
-1999,464.821438
-1998,462.160419
-1997,459.676989
-1996,457.661384
-1995,456.781506
-1994,456.860745
-1993,458.155945
-1992,460.538764
-1991,463.90029
-1990,467.980693
-1989,472.316838
-1988,476.802681
-1987,480.783651
-1986,483.9616
-1985,485.952216
-1984,486.418216
-1983,485.513449
-1982,483.124812
-1981,479.854089
-1980,476.24381
-1979,472.445908
-1978,469.37028
-1977,467.09568
-1976,465.758824
-1975,465.589213
-1974,466.387715
-1973,468.166269
-1972,470.519277
-1971,473.696911
-1970,477.151585
-1969,480.179759
-1968,482.775024
-1967,484.101908
-1966,483.405708
-1965,480.435848
-1964,475.146619
-1963,468.087031
-1962,460.038009
-1961,451.956129
-1960,444.758729
-1959,439.171738
-1958,435.756644
-1957,434.5292
-1956,435.354526
-1955,438.251122
-1954,442.521659
-1953,448.501485
-1952,455.78275
-1951,463.605879
-1950,472.382089
-1949,480.710172
-1948,488.776807
-1947,495.206004
-1946,499.314758
-1945,500.475437
-1944,498.300723
-1943,493.226348
-1942,486.065971
-1941,477.892506
-1940,469.747091
-1939,462.545358
-1938,457.153958
-1937,453.415267
-1936,451.540652
-1935,451.300176
-1934,452.485569
-1933,454.965456
-1932,458.504312
-1931,462.594625
-1930,467.648299
-1929,473.086712
-1928,478.478027
-1927,483.327458
-1926,487.32218
-1925,489.284109
-1924,489.347916
-1923,486.821716
-1922,481.978985
-1921,475.429765
-1920,468.412138
-1919,461.041934
-1918,454.454494
-1917,449.470752
-1916,446.058413
-1915,444.340539
-1914,444.246046
-1913,445.600619
-1912,448.16854
-1911,451.550358
-1910,455.888032
-1909,460.474475
-1908,465.302201
-1907,470.055635
-1906,474.248501
-1905,478.099099
-1904,481.016239
-1903,483.183502
-1902,484.253235
-1901,484.519078
-1900,484.014077
-1899,482.917206
-1898,481.537383
-1897,479.850609
-1896,477.820182
-1895,475.930884
-1894,473.926345
-1893,471.808553
-1892,469.569352
-1891,467.226573
-1890,464.652677
-1889,462.240764
-1888,459.758597
-1887,457.446636
-1886,455.609307
-1885,454.231986
-1884,453.539125
-1883,453.728062
-1882,454.792155
-1881,456.754823
-1880,459.598628
-1879,463.539968
-1878,468.166163
-1877,473.227898
-1876,478.572799
-1875,483.553749
-1874,487.094914
-1873,488.637343
-1872,487.40582
